acronym,meaning
ASC,Ambulatory Surgical Center
ASCQR,Ambulatory Surgical Center Quality Reporting
AMI,Acute Myocardial Infarction
ATSDR,Agency for Toxic Substances and Disease Registry 
AVG,Average
CABG,Coronary Artery Bypass Graft
CAHPS,Consumer Assessment of Healthcare Providers and Systems
CAUTI,Catheter-associated urinary tract infections
CDI,Clostridium difficile Infection
CEBP,Clinical Episode Based Purchasing
CEHRT,Certified Electronic Health Record Technology
CJR,Comprehensive Care Joint Replacement
CLABSI,Central line-associated bloodstream infections
CMS,Centers for Medicare & Medicaid Services
COMP,Complications
COPD,Chronic Obstructive Pulmonary Disease
DoD,Department of Defense
DOPC,Days or Procedure Count
eCQM,Electronic Clinical Quality Measures
ED,Emergency Department
EDAC,Excess days in acute care
ER,Emergency Room
FAPH,Follow-up after psychiatric hospitalization
FIPS,Federal Information Processing Standards
FTNT,Footnote
GMCS,Global Malnutrition Composite Score
HACRP,Hospital-Acquired Conditions Reduction Program
HAI,Healthcare-Associated Infections
HBIPS,Hospital-Based Inpatient Psychiatric Services
HCAHPS,Hospital Consumer Assessment of Healthcare Providers and Systems
HF,Heart Failure
HH,Hospital Harm
HHS,Department of Health and Human Services
HIP-KNEE,Total Hip/Knee Arthroplasty
HIT,Health Information Technology
HRRP,Hospital Readmissions Reduction Program
HVBP,Hospital Value-Based Purchasing
HWM,Hospital Wide Mortality
HWR,Hospital Wide Readmissions
ICU,Intensive Care Unit
IMG,Imaging
IMM,Immunization
IPFQR,Inpatient Psychiatric Facility Quality Reporting
IQR,Inpatient Quality Reporting
MORT,Mortality
MRSA,Methicillin-Resistant Staphylococcus aureus
MSPB,Medicare Spending per Beneficiary (also referred to as SPP for Spending Per Patient)
MSA,Metropolitan Statistical Area
MSR,Measure
MPV,Medicare Payment and Volume
NQF,National Quality Forum
OAS CAHPS,Outpatient and Ambulatory Surgical Center Consumer Assessment of Healthcare Providers and Systems
OCM,Oncology Care Measures
OIE,Outpatient Imaging Efficiency
OP,Outpatient
OQR,Outpatient Quality Reporting
ORAE,Opioid-Related Adverse Events
PCHQR,PPS-Exempt Cancer Hospital Quality Reporting
PDC,Provider Data Catalog
PI,Promoting Interoperability
PN,Pneumonia
PPS,Prospective Payment System
PRO,Patient reported outcomes
PSI,Patient Safety Indicators
PT_EXP,Patient Experience
READM,Readmissions
REH,Rural Emergency Hospital
SEP,Sepsis
SM,Structural Measures
SMD,Screening for Metabolic Disorder
SPP,Spending per Patient (also referred to as MSPB for Medicare Spending per Beneficiary)
STK,Stroke
SVI,Social Vulnerability Index
TE,Timely & Effective Care
THA,Total Hip Arthroplasty
TKA,Total Knee Arthroplasty
TR,Transition Record
TPS,Total Performance Score
VA,Veterans Administration
VHA,Veterans' Health Administration
VTE,Venous Thromboembolism